Timestamp,Short_Name,Full_Name,Multisite_Study,Main_Site,Continent,City/State,Current_Total,Current_PD,Current_nonPD,Proposed_Samples_by2022,Processed_Samples,Participant_type,Study_type,Cohort_completion_Year,"Notes (too much cleaning, missing info, something)",COLUMN,VALUE,DESCRIPTION
4/12/2020 11:02:13,CALYPSO,Cardiff Based Study of Later and Younger Onset Parkinson's,No,Wales,Europe,Cardiff,600,400,200,600,,PD cases and controls,"Cross-sectional: one assessment only, with no further contact",2009,V1 starts here,TOTAL_SAMPLES,0,Total number of samples proposed (could change this to processed instead)?
5/15/2020 2:41:19,PFP,Parkinson's Families Project,Yes,England,Europe,,1000,850,150,2500,,PD cases and controls,"Cross-sectional: one assessment only, with no further contact",9999,,LAST_UPDATED,09/23/2021,Date the visualization was last updated
5/22/2020 13:19:48,MD-GAP,Movement Disorders Genomics and Phenotypes,Yes,England,Europe,,3500,2000,1500,3700,,PD cases and controls,Longitudinal (retrospective),9999,,,,
5/22/2020 13:20:33,PD-STAT,Simvastatin as a Neuroprotective Treatment for Parkinson's Disease,Yes,UK,Europe,,176,176,0,176,,PD only,Longitudinal (prospective): multiple face-to-face assessments,2020,"Had to cut off the remaining study name:  a double-blind, randomised, placebo controlled futility study in patients of moderate severity.",,,
5/22/2020 13:36:34,Tuepac + TREND,Tübinger Parkinson Kohorte + Tübinger Erhebung von Risikofaktoren zur Erkennung von Neurodegeneration,No,Germany,Europe,Tübingen,3700,2500,1200,4100,,PD cases and controls,Longitudinal (prospective): multiple face-to-face assessments,9999,Not clear if these are 2 separate studies?,,,
5/28/2020 5:03:27,PPMI,Parkinson's Progression Markers Initiative,Yes,USA,North America,,1000,800,200,1475,,"PD cases, controls, prodromal (individuals with hyposmia, REM Sleep Behavior Disorder, or LRRK2 (G2019S and R1441G), GBA (primarily N370S), or SNCA (A53T) mutations ",Longitudinal (prospective): multiple face-to-face assessments,9999,Explicitly mentions no main site ,,,
5/28/2020 5:11:03,BioFIND,Fox Investigation for New Discovery of Biomarkers,Yes,USA,North America,,220,120,100,220,,PD cases and controls,"Cross-sectional: one assessment only, with no further contact",2015,,,,
5/28/2020 5:19:04,BCM-UMD,Baylor College of Medicine-University of Maryland,Yes,USA,North America,"Houston, Texas",1250,932,318,1600,443,PD cases and controls,Longitudinal (prospective): multiple face-to-face assessments,2025,Retreived processed ssamples from Total samples passing basic QC [N] in GenoTracker (Added city and state for American city),,,
5/30/2020 11:06:21,QPP,Queensland Parkinson's Project,No,Australia,Asia/Oceania,Queensland,2237,1139,1098,2700,,PD cases and controls,"Cross-sectional plus: one assessment with further questionnaires, EPR, Mortality follow-up",2030,,,,
6/1/2020 3:24:58,PD-GENE,PD GENEration,Yes,USA,North America,,400,400,0,3000,,PD only,"Cross-sectional plus: one assessment with further questionnaires, EPR, Mortality follow-up",2024,,,,
